The image is 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
